Company,Channel,Status,City,State,Zip,Phone,Contact,Email
Court Street Gourmet Inc,Specialty grocer,Customer,Brooklyn,NY,,718-923-1662,,
Court Street Grocers,Specialty grocer,Customer,Brooklyn,NY,,718-722-7229,Mat,
D. Coluccio & Sons,Distributor,Prospect,Brooklyn,NY,11219,718-436-6700,,
Davine Provisions,Specialty grocer,Prospect,Brooklyn,NY,11217,917-952-2582,,
Dean & DeLuca - Madison Ave,Retail chain,Prospect,New York,NY,10028,212-717-0800,Karen (cheese/deli buyer),
De Panneur,Specialty grocer,Prospect,Brooklyn,NY,,646-286-9279,Amy,
East Village Cheese,Specialty grocer,Customer,New York,NY,,212-477-2601,,
Eastern District,Specialty grocer,Customer,Brooklyn,NY,,718-349-1432,,
Eli Fried Inc (Distributor),Distributor,Prospect,Brooklyn,NY,11222,718-218-8889,,
Faicco Pork Store,Specialty grocer,Customer,New York,NY,,212-243-9936,,
Fig & Olive (13th St),Restaurant-chef,Prospect,New York,NY,10014,212-924-1200,,
Fig & Olive (Uptown),Restaurant-chef,Prospect,New York,NY,10021,212-207-4466,,
Flatbush Food Co-op,Specialty grocer,Prospect,Brooklyn,NY,11226,718-284-9717,,
Food Town Williamsburg,Specialty grocer,Customer,Brooklyn,NY,,718-302-5533,Mike / Marlin (cheese),azflga@yahoo.com
Foragers Market,Specialty grocer,Customer,Brooklyn,NY,,718-801-8400,Cassidy; Josh,cassidy@foragersmarket.com
Garden of Eden - Brooklyn Hts,Retail chain,Customer,Brooklyn,NY,,718-222-1515,Ali; Deniz (perishables),
Garden of Eden - Chelsea,Retail chain,Customer,New York,NY,,212-675-6300,,
Garden of Eden - Union Square,Retail chain,Customer,New York,NY,,212-255-4200,,
Garden of Eden - Morningside,Retail chain,Customer,New York,NY,,212-222-7300,,
General Greene,Restaurant-chef,Prospect,Brooklyn,NY,11205,718-222-1510,Zach (GM),
Gourmet Guild,Specialty grocer,Prospect,Brooklyn,NY,,718-388-7726,Steve; Patrick,
Green Gourmet Market,Specialty grocer,Customer,New York,NY,,212-533-8088,Eva (buyer); Chamin,
Greenwich Village Farm,Specialty grocer,Customer,New York,NY,,646-336-0431,,
Hana Natural,Specialty grocer,Customer,Brooklyn,NY,,718-300-2676,,
Jeune's Gourmet Inc,Specialty grocer,Prospect,Brooklyn,NY,11238,718-484-4685,,
Lamazou,Specialty grocer,Customer,New York,NY,,212-532-2009,,
Landi's Pork Store,Specialty grocer,Customer,Brooklyn,NY,,718-763-3230,,
Lucy's Whey,Specialty grocer,Prospect,New York,NY,10011,212-463-9500,,
Marlow and Daughters,Specialty grocer,Prospect,Brooklyn,NY,11211,718-388-5700,Doug,
Marlow and Sons,Restaurant-chef,Prospect,Brooklyn,NY,11211,718-384-1441,,
Meat Supreme,Specialty grocer,Customer,Brooklyn,NY,,718-259-2441,,
Melange Food Fair Inc,Specialty grocer,Prospect,New York,NY,07417,212-535-7773,,
Morgan's Market,Specialty grocer,Customer,New York,NY,,212-964-4283,,
Park Natural,Specialty grocer,Customer,Brooklyn,NY,,718-802-1652,,
Perelandra Natural Foods,Specialty grocer,Prospect,Brooklyn,NY,11201,718-855-6068,,
Pioneer Market (92 & Lex),Specialty grocer,Customer,New York,NY,,212-828-4499,Vladimir,vladimird23@aol.com
Ploughman,Specialty grocer,Customer,Brooklyn,NY,,917-660-5524,,
Produce Market 2000,Specialty grocer,Customer,Brooklyn,NY,,718-615-1835,,
Quechol Products Inc,Specialty grocer,Customer,Brooklyn,NY,,718-218-6019,Ruben,
Robicelli's Gourmet Market,Specialty grocer,Prospect,Brooklyn,NY,11209,718-748-6804,,
Russ and Daughters,Specialty grocer,Customer,New York,NY,,212-475-4880,,
Russo Mozzarella & Pasta,Specialty grocer,Customer,New York,NY,,212-254-7452,,
Russo's Mozz & Pasta,Specialty grocer,Customer,Brooklyn,NY,,718-369-2874,,
Saxelby's Cheesemongers,Specialty grocer,Prospect,New York,NY,10002,212-228-8204,,
Siggy's Good Food LLC,Restaurant-chef,Prospect,Brooklyn,NY,11201,718-237-3199,Sheryl,
Simply Gourmand LLC,Specialty grocer,Customer,New York,NY,,646-652-6426,,
Soho Grand Hotel Inc,Restaurant-chef,Prospect,New York,NY,10013,212-965-3000,,
Staubitz Market,Specialty grocer,Prospect,Brooklyn,NY,11201,718-624-0014,,
Sunac Natural,Specialty grocer,Customer,Brooklyn,NY,,718-643-0508,,
Tribeca Grand Hotel,Restaurant-chef,Prospect,New York,NY,10013,212-519-6600,,
Urban Market (Williamsburg),Specialty grocer,Prospect,Brooklyn,NY,,516-301-8929,Sal,salmou@aol.com
Urban Rustic Grocery & Cafe,Restaurant-chef,Prospect,Brooklyn,NY,11211,718-388-9444,,
Valeo Cheese & Organics,Specialty grocer,Prospect,Brooklyn,NY,11209,718-238-3400,,
Zingone Brothers,Specialty grocer,Customer,New York,NY,,212-877-7526,,
Brooklyn Harvest,Specialty grocer,Customer,Brooklyn,NY,11211,646-704-3441,,
Campbell Cheese and Grocery,Specialty grocer,Prospect,Brooklyn,NY,11211,718-387-2267,Elena Santogade,
Sheepshead Bay Fruit,Specialty grocer,Customer,Brooklyn,NY,11235,718-975-7096,Saladin,
Union Market,Specialty grocer,Customer,Brooklyn,NY,11215,718-230-5152,,
